IDProtocollo,_TipoPersona,_AANascita,_Sesso,_TipoLesione,_Deceduto,_DecedutoDopo
2646449,Pedone,1937,F,Rimandato,False,NON DECEDUTO
2641459,Pedone,1947,M,Rimandato,False,NON DECEDUTO
2640775,Pedone,1930,M,Ricoverato,False,NON DECEDUTO
2665241,Pedone,1964,M,Rimandato,False,NON DECEDUTO
2708149,Pedone,1971,F,Rimandato,False,NON DECEDUTO
2695504,Pedone,1946,F,Rimandato,False,NON DECEDUTO
2659872,Pedone,0,M,Rifiuta cure immediate,False,NON DECEDUTO
2653006,Pedone,1990,F,Rimandato,False,NON DECEDUTO
2665596,Pedone,1946,F,Rimandato,False,NON DECEDUTO
2691727,Pedone,1937,M,Rimandato,False,NON DECEDUTO
2686784,Pedone,1988,F,Ricoverato,False,NON DECEDUTO
2688364,Pedone,1951,F,Ricoverato,False,NON DECEDUTO
2694935,Pedone,1953,F,Rimandato,False,NON DECEDUTO
2690879,Pedone,0,F,Rifiuta cure immediate,False,NON DECEDUTO
2695881,Pedone,1947,F,Rimandato,False,NON DECEDUTO
2696439,Pedone,1973,M,Rimandato,False,NON DECEDUTO
2696837,Pedone,1940,M,Rifiuta cure immediate,False,NON DECEDUTO
2642531,Pedone,1970,F,Rimandato,False,NON DECEDUTO
2649059,Pedone,1941,F,Rimandato,False,NON DECEDUTO
2714297,Pedone,1983,F,Rimandato,False,NON DECEDUTO
2658449,Pedone,1975,F,Rimandato,False,NON DECEDUTO
2650618,Pedone,1975,M,Ricoverato,False,NON DECEDUTO
2654931,Pedone,1999,M,Ricoverato,False,NON DECEDUTO
2667370,Pedone,1956,F,Ricoverato,False,NON DECEDUTO
2667405,Pedone,1933,F,Rimandato,False,NON DECEDUTO
2678474,Pedone,1938,F,Rimandato,False,NON DECEDUTO
2681495,Pedone,2001,F,Rimandato,False,NON DECEDUTO
2680029,Pedone,1931,F,Rimandato,False,NON DECEDUTO
2710938,Pedone,1976,F,Illeso,False,
2667799,Pedone,1983,M,Illeso,False,
2708253,Pedone,0,F,Illeso,False,
