_ID,_Gruppo,_DataOraIncidente,_Localizzazione1,_Localizzazione2,_Strada1,_DaSpecificare,_NaturaIncidente,_ParticolaritaStrade,_TipoStrada,_FondoStradale,_Pavimentazione,_Segnaletica,_CondizioneAtmosferica,_Traffico,_Visibilita,_Illuminazione,_NUM_FERITI,_NUM_RISERVATA,_NUM_MORTI,_NUM_ILLESI,_Longitudine,_Latitudine,_CONFERMATO,__prefix,_Strada02,_Strada2,_Chilometrica
2563647,4,2015-11-01T04:30:00,Strada Urbana,da specificare,VIA FORNACE VIGNOLO,"50 m apertura p.c. ""lago azzurro""",Veicolo in marcia contro ostacolo fisso,Curva a visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,Inesistente,0,0,0,1,12.50231,41.99114,True,z,,,
2564785,1,2015-11-01T04:45:00,Strada Urbana,all'intersezione semaforizzata con,VIALE MANZONI,,Scontro frontale-laterale DX fra veicoli in marcia,Intersezione semaforizzata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,1,0,0,3,12.50772,41.89117,True,z,VIA DI S. CROCE IN GERUSALEMME,VIA DI S. CROCE IN GERUSALEMME,
2563767,2,2015-11-01T05:00:00,Strada Urbana,in prossimitíæ,VIALE REGINA MARGHERITA,,Investimento di pedone,Rettilineo,Pií_ di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,1,0,0,2,12.50051,41.91773,True,z,del civico n.,,64
2563248,15,2015-11-01T07:00:00,Strada Urbana,da specificare,VIA DELLE VIGNE,fronte civico 98,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,0,12.42195,41.84034,True,z,,,
2563141,5,2015-11-01T07:15:00,Strada Urbana,all'intersezione con,PIAZZA RICCARDO BALSAMO CRIVELLI,,Tamponamento,Incrocio,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,2,12.55325,41.9057,False,z,VIA ALBERTO BERGAMINI,VIA ALBERTO BERGAMINI,
2564306,3,2015-11-01T08:40:00,Strada Urbana,da specificare,CIRCONVALLAZIONE NOMENTANA,in prossimitíæ civico fronte 580,Tamponamento,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,3,12.5264,41.92058,True,z,,,
2563619,1,2015-11-01T08:55:00,Strada Urbana,all'intersezione con,VIA PRINCIPE AMEDEO,,Veicolo in marcia contro veicoli in sosta,Incrocio,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,5,12.50779,41.89434,True,z,VIA CAIROLI,VIA CAIROLI,
2563673,2,2015-11-01T09:30:00,Strada Urbana,in prossimitíæ,VIA MASSACIUCCOLI,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,1,12.51488,41.92641,True,z,del civico n.,,30
2562626,13,2015-11-01T09:40:00,Strada Urbana,da specificare,VIA DI PIANA BELLA,"ALT. INGRESSO CIMITERO ""NUOVO""",Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Sterrata,Assente,Sereno,Normale,Buona,Ore Diurne,0,0,0,2,12.30499,41.7565,False,z,,,
2563772,2,2015-11-01T09:50:00,Strada Urbana,da specificare,CIRCONVALLAZIONE SALARIA,dir. Olipmico alt. svincolo v.le Etiopia,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,1,12.52597,41.93075,True,z,,,
2563282,8,2015-11-01T10:00:00,Statale entro l'abitato,all'intersezione con,VIA CASILINA,,Scontro frontale-laterale DX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,3,12.6857,41.86264,True,z,VIA DI PRATAPORCI,VIA DI PRATAPORCI,
2563960,16,2015-11-01T11:00:00,Strada Urbana,in prossimitíæ,VIALE DI TRASTEVERE,,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,6,12.46558,41.87653,True,z,del civico n.,,236
2563306,8,2015-11-01T11:10:00,Strada Urbana,in prossimitíæ,VIA GIOVANNI BATTISTA SCOZZA,,Veicolo in marcia contro veicolo fermo,Rettilineo,Una carreggiata a doppio senso,Asciutto,Lastricata,Assente,Sereno,Scarso,Sufficiente,Ore Diurne,0,0,0,2,12.64737,41.86777,True,z,del civico n.,,20
2563262,8,2015-11-01T11:30:00,Statale entro l'abitato,da specificare,VIA CASILINA,altezza stazione Grotte Celoni,Tamponamento,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Intenso,Buona,Ore Diurne,1,0,0,4,12.64583,41.86234,True,z,,,
2563631,4,2015-11-01T12:30:00,Strada Urbana,in corrispondenza,VIA NOMENTANA,,Tamponamento,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,2,12.53713,41.93573,True,z,del civico n.,,675
2563422,17,2015-11-01T12:30:00,,all'intersezione con,VIALE DEGLI AMMIRAGLI,,Scontro frontale-laterale DX fra veicoli in marcia,,,,,,,,,,0,0,0,2,12.44319,41.9067,False,z,VIA PIETRO DE CRISTOFARO,VIA PIETRO DE CRISTOFARO,
2563765,18,2015-11-01T12:30:00,Strada Urbana,all'intersezione con,VIA PIO IX,,Scontro frontale-laterale SX fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,1,12.42336,41.90577,True,z,VIA SILVESTRO II,VIA SILVESTRO II,
2563807,17,2015-11-01T12:45:00,Strada Urbana,da specificare,VIA TERENZIO,ft CATULLO,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,1,0,0,2,12.46295,41.90692,False,z,,,
2563487,12,2015-11-01T13:05:00,Strada Urbana,in prossimitíæ,VIA ENRICO GIACHINO,,Veicolo in marcia contro ostacolo accidentale,Pendenza,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,0,12.4511,41.80488,False,z,del civico n.,,35
2563183,15,2015-11-01T13:20:00,Provinciale entro l'abitato,all'intersezione con,VIA PORTUENSE,,Scontro laterale fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,3,12.46402,41.86676,True,z,VIA DI POZZO PANTALEO,VIA DI POZZO PANTALEO,
2563273,8,2015-11-01T13:30:00,Strada Urbana,da specificare,VIA DI LUNGHEZZINA,c.a. 800m dopo civ. 402 direzione via Collatina,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,3,12.67819,41.92641,True,z,,,
