IDProtocollo,Progressivo,IDVeicolo,TipoVeicolo,StatoVeicolo,Marca,Modello
2689301,1,1036024,Motociclo a solo,In marcia / fermata / arresto,Kwang Yang,Dink
2689301,2,1036026,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2689316,1,1036032,Motociclo a solo,In marcia / fermata / arresto,Kymco,AGILITY
2689316,2,1036033,Velocipede,In marcia / fermata / arresto,Vicini,Donna
2689330,1,1036034,Autovettura privata,In marcia / fermata / arresto,Fiat,600
2689330,2,1036036,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300
2689333,1,1036035,Motociclo a solo,In marcia / fermata / arresto,Yamaha,Majesti
2689333,2,1036037,Autobus turistico,In marcia / fermata / arresto,Iveco,380
2689342,1,1036038,Autovettura privata,In marcia / fermata / arresto,Dacia,Sandero
2689342,2,1036043,Autovettura privata,In marcia / fermata / arresto,Renault,Laguna
2689359,1,1036045,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150
2689359,2,1036046,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Vespa
2689482,1,1036074,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 300
2689482,2,1036080,Motociclo a solo,Sosta,Piaggio,Liberty
2689482,3,1036085,Autovettura privata,Sosta,Renault,Clio
2689482,4,1036166,Autovettura privata,Sosta,Hyundai,GETZ
2689492,1,1036081,Autovettura privata,In marcia / fermata / arresto,Citroen,C3
2689492,2,1036084,Autovettura privata,Sosta,Seat,ALTEA
2689738,1,1036138,Autovettura privata,In marcia / fermata / arresto,Citroen,Picasso
2689738,2,1036140,Autovettura privata,In marcia / fermata / arresto,Ford,Kuga
2689749,1,1036139,Autovettura privata,In marcia / fermata / arresto,Peugeot,107
2689749,2,1036142,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2689751,1,1036280,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,147
2689754,1,1036313,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris
2689755,1,1045679,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Volkswagen,Transporter
2689755,2,1036141,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 125
2689757,1,1036423,Autovettura privata,In marcia / fermata / arresto,Volkswagen,TOUAREG
