ID,Gruppo,_DataOraIncidente,_Localizzazione1,_Localizzazione2,Strada02,Strada1,Strada2,Chilometrica,DaSpecificare,_NaturaIncidente,_ParticolaritaStrade,_TipoStrada,_FondoStradale,_Pavimentazione,_Segnaletica,_CondizioneAtmosferica,_Traffico,_Visibilita,_Illuminazione,NUM_FERITI,_NUM_RISERVATA,_NUM_MORTI,_NUM_ILLESI,Longitudine,Latitudine,CONFERMATO
2639867,4,1/1/16 6:10,Statale entro l'abitato,in prossimit•À_,del civico n.,VIA SALARIA,,1031,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Due carreggiate,Bagnato (umidit•À_ in atto),Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Sufficiente,0,0,1,0,"1,250,501","4,197,154",False
2660614,3,1/1/16 6:15,Strada Urbana,all'intersezione con,VIALE DELL'UNIVERSITA',VIALE REGINA ELENA,VIALE DELL'UNIVERSITA',,,Veicolo in marcia contro ostacolo fisso,Incrocio,Una carreggiata a doppio senso,Bagnato (umidit•À_ in atto),Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Sufficiente,0,0,0,1,"125,156","4,190,565",True
2639857,11,1/1/16 6:20,Strada Urbana,in prossimit•À_,del civico n.,VIA DI TOR CARBONE,,207,,Veicolo in marcia contro ostacolo fisso,Rotatoria,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Sufficiente,0,0,0,1,"12,52","41,827",True
2640299,1,1/1/16 6:30,Strada Urbana,in corrispondenza,del civico n.,PIAZZA VENEZIA,,11,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,In cubetti di porfido,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Sufficiente,0,0,0,1,"1,248,282","4,189,636",True
2639907,8,1/1/16 7:00,Strada Urbana,da specificare,,VIA DI SALONE,,,tra rotatoria noale e  collatina dir. collatina,Fuoriuscita dalla sede stradale,Curva senza visuale libera,Una carreggiata a doppio senso,Bagnato (umidit•À_ in atto),Asfaltata,Verticale,Nuvoloso,Scarso,Insufficiente,Inesistente,0,0,0,0,"1,263,471","4,191,291",False
2640740,10,1/1/16 7:10,Statale entro l'abitato,da specificare,,VIA ANAGNINA,,,rampa sottovia GRA dir. Roma centro,Veicolo in marcia contro ostacolo fisso,Curva senza visuale libera,Una carreggiata a senso unico di marcia,Bagnato (umidit•À_ in atto),Asfaltata,Temporanea di cantiere,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,1,"1,259,092","4,183,761",True
2642600,17,1/1/16 7:10,,all'intersezione semaforizzata con,VIA TUNISI,VIA ANDREA DORIA,VIA TUNISI,,,Tamponamento,,,,,,,,,,0,0,0,6,,,False
2639894,8,1/1/16 7:23,Provinciale,in corrispondenza,del palo luce n.,VIA PRENESTINA,,498,,Scontro laterale fra veicoli in marcia,Curva senza visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,3,"126,069","4,189,378",True
2639440,2,1/1/16 8:15,Strada Urbana,da specificare,,VIA DEL FORO ITALICO,,,dir. S.Giovanni alt. Salaria semicarreggiata sx,Veicolo in marcia contro ostacolo fisso,Curva a visuale libera,Pi•À_ di due carreggiate,Bagnato (umidit•À_ in atto),Asfaltata,Verticale ed orizzontale,Pioggia in atto,Scarso,Buona,Ore Diurne,0,0,0,1,"1,248,104","4,194,025",True
2639848,11,1/1/16 8:40,Strada Urbana,in prossimit•À_,del palo luce n.,VIA PALOS,,14,,Fuoriuscita dalla sede stradale,Rettilineo,Una carreggiata a senso unico alternato,Bagnato (umidit•À_ in atto),Asfaltata,Orizzontale,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,1,"124,968","4,186,829",True
2640288,7,1/1/16 8:50,Strada Urbana,all'intersezione con,VIA SENATORE BORLETTI,VIA ACHILLE GAGGIA,VIA SENATORE BORLETTI,,,Scontro frontale/laterale SX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,1,"1,258,632","4,189,159",False
