_IDProtocollo,_IDVeicolo,_Progressivo,_TipoPersona,_AnnoNascita,_Sesso,_TipoLesione,_Deceduto,_CinturaCascoUtilizzato,_DecedutoDopo,__prefix,_Airbag
2565654,1002889,2,Conducente,1981,F,Rimandato,False,,NON DECEDUTO,z,Esploso
2565654,1002889,2,Passeggero,1982,M,Rimandato,False,,NON DECEDUTO,z,
2565654,1002889,2,Passeggero,1977,F,Rimandato,False,,NON DECEDUTO,z,
2565917,1002959,2,Conducente,1955,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2565930,1002960,1,Conducente,1965,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2565950,1002971,2,Conducente,1991,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2566181,1003004,1,Passeggero,1972,F,Prognosi riservata,False,Non accertato,NON DECEDUTO,z,Inesploso
2566181,1003004,1,Conducente,1966,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2566181,1003010,2,Conducente,1961,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2566181,1003010,2,Passeggero,1970,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2566182,1003011,2,Conducente,1982,M,Rimandato,False,,NON DECEDUTO,z,
2566190,1003118,1,Conducente,1985,M,Ricoverato,False,,NON DECEDUTO,z,
2566272,1003013,1,Conducente,1947,M,Rimandato,False,,NON DECEDUTO,z,
2566294,1003024,1,Conducente,1995,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2566356,1003050,2,Conducente,1976,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2566367,1003055,2,Conducente,1982,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2566372,1003061,2,Conducente,1983,M,Rimandato,False,,NON DECEDUTO,z,
2566393,1003069,1,Conducente,1966,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2566393,1003085,2,Conducente,1964,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2566395,1003068,1,Conducente,1965,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2566442,1003089,2,Conducente,1972,M,Rimandato,False,,NON DECEDUTO,z,
2566447,1003095,2,Conducente,1976,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2566528,1003116,2,Conducente,1993,M,Rimandato,False,,NON DECEDUTO,z,
2566580,1003135,1,Conducente,1980,M,Rimandato,False,,NON DECEDUTO,z,
2566754,1003200,1,Conducente,1980,M,Rimandato,False,,NON DECEDUTO,z,
2566835,1003225,1,Conducente,1994,M,Ricoverato,False,,NON DECEDUTO,z,
2567165,1003281,1,Conducente,1961,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2567295,1003298,1,Passeggero,1970,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesistente
2567328,1003301,2,Conducente,1961,F,Rifiuta cure immediate,False,Utilizzato,NON DECEDUTO,z,
2567432,1003321,1,Conducente,1968,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2567709,1003376,1,Conducente,1977,F,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2567779,1003452,2,Conducente,1977,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2567800,1003398,1,Conducente,0,M,Rimandato,False,,NON DECEDUTO,z,
2567819,1003387,2,Passeggero,1973,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesistente
2567831,1003388,1,Conducente,1968,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2567831,1003388,1,Passeggero,1997,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2567831,1003390,2,Conducente,1973,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2567831,1003390,2,Passeggero,1987,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2567844,1003394,1,Conducente,1970,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2567855,1003391,2,Conducente,1965,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2567862,1003396,2,Passeggero,1973,F,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2567862,1003396,2,Conducente,1973,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2567881,1015846,2,Conducente,1976,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2568022,1003447,2,Conducente,0,M,Rimandato,False,,NON DECEDUTO,z,
2568022,1003447,2,Passeggero,0,M,Rimandato,False,,NON DECEDUTO,z,
2568050,1003465,2,Conducente,1994,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2568059,1003537,2,Conducente,1985,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2568130,1003482,2,Conducente,1955,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Esploso
2568166,1003511,1,Conducente,1981,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2568169,1003542,2,Conducente,1976,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2568214,1003492,2,Passeggero,1974,F,Rimandato,False,,NON DECEDUTO,z,
2568214,1003492,2,Conducente,1971,M,Rimandato,False,,NON DECEDUTO,z,
2568214,1003492,2,Passeggero,2015,F,Rimandato,False,,NON DECEDUTO,z,
2568531,1003555,2,Conducente,1966,F,Rimandato,False,,NON DECEDUTO,z,
2568581,1003567,2,Conducente,1940,M,Rimandato,False,,NON DECEDUTO,z,
2568614,1003575,1,Conducente,1964,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2568614,1003576,2,Conducente,1973,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2568723,1003594,1,Passeggero,1997,F,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2568787,1003607,2,Conducente,0,M,Rimandato,False,Esente,NON DECEDUTO,z,
2568839,1003621,1,Passeggero,1977,F,Rimandato,False,,NON DECEDUTO,z,
